locus_tag	ftype	length_bp	gene	EC_number	COG	product
LOAGDLFN_00919	CDS	831				hypothetical protein
LOAGDLFN_00920	CDS	1806	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
LOAGDLFN_00921	CDS	1101				hypothetical protein
LOAGDLFN_00922	CDS	798				hypothetical protein
LOAGDLFN_00923	CDS	1017				hypothetical protein
LOAGDLFN_00924	CDS	1116				hypothetical protein
LOAGDLFN_00925	CDS	1263	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LOAGDLFN_00926	CDS	747				hypothetical protein
LOAGDLFN_00927	CDS	2493				hypothetical protein
LOAGDLFN_00928	CDS	696	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
LOAGDLFN_00929	CDS	486	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
LOAGDLFN_00930	CDS	270	rpsO		COG0184	30S ribosomal protein S15
LOAGDLFN_00931	CDS	300				hypothetical protein
LOAGDLFN_00932	CDS	246				hypothetical protein
LOAGDLFN_00933	CDS	2115				hypothetical protein
LOAGDLFN_00934	CDS	1104				hypothetical protein
LOAGDLFN_00935	CDS	1047				hypothetical protein
LOAGDLFN_00936	CDS	684				hypothetical protein
LOAGDLFN_00937	CDS	510				hypothetical protein
LOAGDLFN_00938	CDS	1614				IS66 family transposase ISBvu4
LOAGDLFN_00939	CDS	1071				hypothetical protein
LOAGDLFN_00940	CDS	1461				hypothetical protein
LOAGDLFN_00941	CDS	570				hypothetical protein
LOAGDLFN_00942	CDS	606				hypothetical protein
LOAGDLFN_00943	CDS	360				hypothetical protein
LOAGDLFN_00944	CDS	453				hypothetical protein
LOAGDLFN_00945	CDS	1095				hypothetical protein
LOAGDLFN_00946	CDS	918	dnaG_2	2.7.7.-		DNA primase
LOAGDLFN_00947	CDS	438				hypothetical protein
LOAGDLFN_00948	CDS	276				hypothetical protein
LOAGDLFN_00949	CDS	117				hypothetical protein
LOAGDLFN_00950	CDS	345				hypothetical protein
LOAGDLFN_00951	CDS	294				hypothetical protein
LOAGDLFN_00952	CDS	444				hypothetical protein
LOAGDLFN_00953	CDS	219				hypothetical protein
LOAGDLFN_00954	CDS	267				hypothetical protein
LOAGDLFN_00955	CDS	285				hypothetical protein
LOAGDLFN_00956	CDS	555				hypothetical protein
LOAGDLFN_00957	CDS	2064				hypothetical protein
LOAGDLFN_00958	CDS	867				hypothetical protein
LOAGDLFN_00959	CDS	933				hypothetical protein
LOAGDLFN_00960	CDS	1590				hypothetical protein
LOAGDLFN_00961	CDS	798				hypothetical protein
LOAGDLFN_00962	CDS	321				hypothetical protein
LOAGDLFN_00963	CDS	2421				hypothetical protein
LOAGDLFN_00964	CDS	522				hypothetical protein
LOAGDLFN_00965	CDS	774				hypothetical protein
LOAGDLFN_00966	CDS	624				hypothetical protein
LOAGDLFN_00967	CDS	972				hypothetical protein
LOAGDLFN_00968	CDS	456				hypothetical protein
LOAGDLFN_00969	CDS	183				hypothetical protein
LOAGDLFN_00970	CDS	432				hypothetical protein
LOAGDLFN_00971	CDS	201				hypothetical protein
LOAGDLFN_00972	CDS	168				hypothetical protein
LOAGDLFN_00973	CDS	132				hypothetical protein
LOAGDLFN_00974	CDS	234				hypothetical protein
LOAGDLFN_00975	CDS	438				hypothetical protein
LOAGDLFN_00976	CDS	1155				hypothetical protein
LOAGDLFN_00977	CDS	561				hypothetical protein
LOAGDLFN_00978	CDS	342				hypothetical protein
LOAGDLFN_00979	CDS	420				hypothetical protein
LOAGDLFN_00980	CDS	1062				hypothetical protein
LOAGDLFN_00981	CDS	549				hypothetical protein
LOAGDLFN_00982	CDS	954				hypothetical protein
LOAGDLFN_00983	CDS	3426				TonB-dependent receptor P26
LOAGDLFN_00984	CDS	1914				hypothetical protein
LOAGDLFN_00985	CDS	1353				hypothetical protein
LOAGDLFN_00986	CDS	2910				hypothetical protein
LOAGDLFN_00987	CDS	1647		3.2.1.-		Glycosyl hydrolase family 109 protein 1
LOAGDLFN_00988	CDS	1815				hypothetical protein
LOAGDLFN_00989	CDS	279				hypothetical protein
LOAGDLFN_00990	CDS	735	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
LOAGDLFN_00991	CDS	243				hypothetical protein
LOAGDLFN_00992	CDS	852				hypothetical protein
LOAGDLFN_00993	CDS	96				hypothetical protein
LOAGDLFN_00994	CDS	270				hypothetical protein
LOAGDLFN_00995	CDS	408				hypothetical protein
LOAGDLFN_00996	CDS	3096	susC_7			TonB-dependent receptor SusC
LOAGDLFN_00997	CDS	1638				SusD-like protein P25
LOAGDLFN_00998	CDS	405				hypothetical protein
LOAGDLFN_00999	CDS	1356				hypothetical protein
LOAGDLFN_01000	CDS	3462				hypothetical protein
LOAGDLFN_01001	CDS	321				hypothetical protein
LOAGDLFN_01002	CDS	1605				hypothetical protein
LOAGDLFN_01003	CDS	951				hypothetical protein
LOAGDLFN_01004	CDS	543				hypothetical protein
LOAGDLFN_01005	CDS	948				hypothetical protein
LOAGDLFN_01006	CDS	246				hypothetical protein
LOAGDLFN_01007	CDS	1521				hypothetical protein
LOAGDLFN_01008	CDS	798				IS21 family transposase ISBf1
LOAGDLFN_01009	CDS	4137	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_01010	CDS	1803	typA		COG1217	GTP-binding protein TypA/BipA
LOAGDLFN_01011	CDS	633				hypothetical protein
LOAGDLFN_01012	CDS	1608	pckA_1	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
LOAGDLFN_01013	CDS	660	upp_1	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
LOAGDLFN_01014	CDS	1005	korB_1	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
LOAGDLFN_01015	CDS	1848	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
LOAGDLFN_01016	tRNA	73				tRNA-Arg(cct)
LOAGDLFN_01017	CDS	1191	kbl_1	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
LOAGDLFN_01018	CDS	954				putative epimerase/dehydratase
LOAGDLFN_01019	CDS	282				hypothetical protein
LOAGDLFN_01020	CDS	1608	pckA_2	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
LOAGDLFN_01021	CDS	660	upp_2	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
LOAGDLFN_01022	CDS	1005	korB_2	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
LOAGDLFN_01023	CDS	1848	korA_2	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
LOAGDLFN_01024	tRNA	73				tRNA-Arg(cct)
LOAGDLFN_01025	CDS	1191	kbl_2	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
LOAGDLFN_01026	CDS	954				putative epimerase/dehydratase
LOAGDLFN_01027	CDS	1065	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
LOAGDLFN_01028	CDS	2988	secD			Protein translocase subunit SecD
LOAGDLFN_01029	CDS	2088	dcp_1	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
LOAGDLFN_01030	CDS	1080				hypothetical protein
LOAGDLFN_01031	CDS	894				hypothetical protein
LOAGDLFN_01032	CDS	678				hypothetical protein
LOAGDLFN_01033	CDS	273	hup_1			DNA-binding protein HU
LOAGDLFN_01034	CDS	3342	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
LOAGDLFN_01035	CDS	471				hypothetical protein
LOAGDLFN_01036	CDS	1017	mnmA_2	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
LOAGDLFN_01037	CDS	1563		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
LOAGDLFN_01038	CDS	1980		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
LOAGDLFN_01039	CDS	1536		3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase
LOAGDLFN_01040	CDS	4227	rcsC_13	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_01041	CDS	1929		3.2.1.22		Retaining alpha-galactosidase
LOAGDLFN_01042	CDS	3210	susC_8			TonB-dependent receptor SusC
LOAGDLFN_01043	CDS	1752				SusD-like protein P2
LOAGDLFN_01044	CDS	1779				hypothetical protein
LOAGDLFN_01045	CDS	1884				hypothetical protein
LOAGDLFN_01046	CDS	1482	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
LOAGDLFN_01047	CDS	1533	cmdF	5.4.3.6		Tyrosine 2,3-aminomutase
LOAGDLFN_01048	CDS	729	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LOAGDLFN_01049	CDS	1230	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
LOAGDLFN_01050	CDS	252	acpP_1			Acyl carrier protein
LOAGDLFN_01051	CDS	885	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
LOAGDLFN_01052	CDS	1071	sfmM2	2.1.1.304		L-tyrosine C(3)-methyltransferase
LOAGDLFN_01053	CDS	438				hypothetical protein
LOAGDLFN_01054	CDS	444		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
LOAGDLFN_01055	CDS	1731				hypothetical protein
LOAGDLFN_01056	CDS	258	acpP_2			Acyl carrier protein
LOAGDLFN_01057	CDS	1191	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LOAGDLFN_01058	CDS	954				hypothetical protein
LOAGDLFN_01059	CDS	855				hypothetical protein
LOAGDLFN_01060	CDS	693		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
LOAGDLFN_01061	CDS	636	lolA			Outer-membrane lipoprotein carrier protein
LOAGDLFN_01062	CDS	543				hypothetical protein
LOAGDLFN_01063	CDS	381				hypothetical protein
LOAGDLFN_01064	CDS	285				hypothetical protein
LOAGDLFN_01065	CDS	1185				hypothetical protein
LOAGDLFN_01066	CDS	1194				hypothetical protein
LOAGDLFN_01067	CDS	3855	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
LOAGDLFN_01068	CDS	1491				hypothetical protein
LOAGDLFN_01069	CDS	1665				hypothetical protein
LOAGDLFN_01070	CDS	1296		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
LOAGDLFN_01071	CDS	576				hypothetical protein
LOAGDLFN_01072	CDS	2424	rcsC_14	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_01073	CDS	99				hypothetical protein
LOAGDLFN_01074	CDS	822				hypothetical protein
LOAGDLFN_01075	CDS	810				hypothetical protein
LOAGDLFN_01076	CDS	1923				hypothetical protein
LOAGDLFN_01077	CDS	1539				hypothetical protein
LOAGDLFN_01078	CDS	1011	pfkA2	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 2
LOAGDLFN_01079	CDS	963	rssB			Regulator of RpoS
LOAGDLFN_01080	CDS	3165	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
LOAGDLFN_01081	CDS	3168				TonB-dependent receptor P3
LOAGDLFN_01082	CDS	2049				hypothetical protein
LOAGDLFN_01083	CDS	1437		3.1.6.-	COG3119	Endo-4-O-sulfatase
LOAGDLFN_01084	CDS	1386				hypothetical protein
LOAGDLFN_01085	CDS	2076				hypothetical protein
LOAGDLFN_01086	CDS	1554	atsA_3	3.1.6.1	COG3119	Arylsulfatase
LOAGDLFN_01087	CDS	927	rnc	3.1.26.3		Ribonuclease 3
LOAGDLFN_01088	CDS	1266	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LOAGDLFN_01089	CDS	237	acpP_3		COG0236	Acyl carrier protein
LOAGDLFN_01090	CDS	579	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
LOAGDLFN_01091	CDS	546				hypothetical protein
LOAGDLFN_01092	CDS	3039	susC_9			TonB-dependent receptor SusC
LOAGDLFN_01093	CDS	1704				hypothetical protein
LOAGDLFN_01094	CDS	510				hypothetical protein
LOAGDLFN_01095	CDS	804				hypothetical protein
LOAGDLFN_01096	CDS	2655				hypothetical protein
LOAGDLFN_01097	CDS	966				hypothetical protein
LOAGDLFN_01098	CDS	120				hypothetical protein
LOAGDLFN_01099	CDS	1026	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
LOAGDLFN_01100	CDS	1032				hypothetical protein
LOAGDLFN_01101	CDS	924	lpxL_2	2.3.1.241		Lipid A biosynthesis lauroyltransferase
LOAGDLFN_01102	CDS	1107	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
LOAGDLFN_01103	CDS	717				hypothetical protein
LOAGDLFN_01104	CDS	753				hypothetical protein
LOAGDLFN_01105	CDS	900	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
LOAGDLFN_01106	CDS	912				hypothetical protein
LOAGDLFN_01107	CDS	894				hypothetical protein
LOAGDLFN_01108	CDS	1179	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
LOAGDLFN_01109	CDS	915				hypothetical protein
LOAGDLFN_01110	CDS	1839		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
LOAGDLFN_01111	tRNA	99				tRNA-Arg(ccg)
LOAGDLFN_01112	CDS	990				hypothetical protein
LOAGDLFN_01113	CDS	2028	mdoB	2.7.8.20		Phosphoglycerol transferase I
LOAGDLFN_01114	CDS	966		2.4.-.-		putative glycosyltransferase
LOAGDLFN_01115	CDS	375				hypothetical protein
LOAGDLFN_01116	CDS	1725	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
LOAGDLFN_01117	CDS	1827				hypothetical protein
LOAGDLFN_01118	CDS	627	rnhA	3.1.26.4	COG3341	Ribonuclease H
LOAGDLFN_01119	CDS	1821	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
LOAGDLFN_01120	CDS	126				hypothetical protein
LOAGDLFN_01121	CDS	3087				TonB-dependent receptor P3
LOAGDLFN_01122	CDS	1551				hypothetical protein
LOAGDLFN_01123	CDS	1263				hypothetical protein
LOAGDLFN_01124	CDS	990	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
LOAGDLFN_01125	CDS	852				hypothetical protein
LOAGDLFN_01126	CDS	537				hypothetical protein
LOAGDLFN_01127	CDS	444				hypothetical protein
LOAGDLFN_01128	CDS	1047	auaH	1.1.1.394		Aurachin B dehydrogenase
LOAGDLFN_01129	CDS	942	mneP		COG0053	Manganese efflux system protein MneP
LOAGDLFN_01130	CDS	2148	rnr	3.1.13.1	COG0557	Ribonuclease R
LOAGDLFN_01131	CDS	129				hypothetical protein
LOAGDLFN_01132	CDS	909				hypothetical protein
LOAGDLFN_01133	CDS	192				hypothetical protein
LOAGDLFN_01134	CDS	123				hypothetical protein
LOAGDLFN_01135	CDS	1449	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
LOAGDLFN_01136	CDS	2214	ptpA_1	3.4.14.12	COG1506	Prolyl tripeptidyl peptidase
LOAGDLFN_01137	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
LOAGDLFN_01138	CDS	906				hypothetical protein
LOAGDLFN_01139	CDS	468				hypothetical protein
LOAGDLFN_01140	CDS	684	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
LOAGDLFN_01141	CDS	3009				hypothetical protein
LOAGDLFN_01142	CDS	498				hypothetical protein
LOAGDLFN_01143	CDS	174				hypothetical protein
LOAGDLFN_01144	CDS	906	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
LOAGDLFN_01145	CDS	768	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LOAGDLFN_01146	CDS	3405				hypothetical protein
LOAGDLFN_01147	CDS	612	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
LOAGDLFN_01148	CDS	1173				hypothetical protein
LOAGDLFN_01149	CDS	804	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
LOAGDLFN_01150	CDS	843	kduI_1	5.3.1.17		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
LOAGDLFN_01151	CDS	1401	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
LOAGDLFN_01152	CDS	1341	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
LOAGDLFN_01153	CDS	414				hypothetical protein
LOAGDLFN_01154	CDS	411				hypothetical protein
LOAGDLFN_01155	CDS	561				hypothetical protein
LOAGDLFN_01156	CDS	1581	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LOAGDLFN_01157	CDS	1728				hypothetical protein
LOAGDLFN_01158	CDS	1356				hypothetical protein
LOAGDLFN_01159	CDS	2142				hypothetical protein
LOAGDLFN_01160	CDS	2313				hypothetical protein
LOAGDLFN_01161	CDS	2040				hypothetical protein
LOAGDLFN_01162	CDS	3336	susC_10			TonB-dependent receptor SusC
LOAGDLFN_01163	CDS	177				hypothetical protein
LOAGDLFN_01164	CDS	2244	ptpA_2	3.4.14.12	COG1506	Prolyl tripeptidyl peptidase
LOAGDLFN_01165	CDS	2406				hypothetical protein
LOAGDLFN_01166	CDS	2403				hypothetical protein
LOAGDLFN_01167	CDS	2724				hypothetical protein
LOAGDLFN_01168	CDS	2265				hypothetical protein
LOAGDLFN_01169	CDS	1011				hypothetical protein
LOAGDLFN_01170	CDS	1680				hypothetical protein
LOAGDLFN_01171	CDS	3030	susC_11			TonB-dependent receptor SusC
LOAGDLFN_01172	CDS	2436				hypothetical protein
LOAGDLFN_01173	CDS	612	pinR	3.1.22.-	COG1961	Serine recombinase PinR
LOAGDLFN_01174	CDS	600				hypothetical protein
LOAGDLFN_01175	CDS	3045	susC_12			TonB-dependent receptor SusC
LOAGDLFN_01176	CDS	1620				hypothetical protein
LOAGDLFN_01177	CDS	3357				hypothetical protein
LOAGDLFN_01178	CDS	3987	rcsC_15	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_01179	CDS	579	rbr		COG1592	Rubrerythrin
LOAGDLFN_01180	CDS	270				hypothetical protein
LOAGDLFN_01181	CDS	1683	dauA		COG0659	C4-dicarboxylic acid transporter DauA
LOAGDLFN_01182	CDS	150				hypothetical protein
LOAGDLFN_01183	CDS	777				hypothetical protein
LOAGDLFN_01184	CDS	2073				hypothetical protein
LOAGDLFN_01185	CDS	507				hypothetical protein
LOAGDLFN_01186	CDS	537	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
LOAGDLFN_01187	CDS	2319				hypothetical protein
LOAGDLFN_01188	CDS	993	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LOAGDLFN_01189	CDS	126				hypothetical protein
LOAGDLFN_01190	CDS	582		3.6.1.66		dITP/XTP pyrophosphatase
LOAGDLFN_01191	CDS	528		2.3.1.-	COG1670	Acetyltransferase
LOAGDLFN_01192	CDS	897				hypothetical protein
LOAGDLFN_01193	CDS	2835	leuS	6.1.1.4		Leucine--tRNA ligase
LOAGDLFN_01194	CDS	141				hypothetical protein
LOAGDLFN_01195	CDS	3984	rcsC_16	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_01196	CDS	2439		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
LOAGDLFN_01197	CDS	3054				TonB-dependent receptor P3
LOAGDLFN_01198	CDS	1782				hypothetical protein
LOAGDLFN_01199	CDS	3225	tri1_1	3.4.21.-	COG0793	Tricorn protease 
LOAGDLFN_01200	CDS	588	algU_2		COG1595	RNA polymerase sigma-H factor
LOAGDLFN_01201	CDS	1011				hypothetical protein
LOAGDLFN_01202	CDS	3528	susC_13			TonB-dependent receptor SusC
LOAGDLFN_01203	CDS	1923				hypothetical protein
LOAGDLFN_01204	CDS	1422	atsA_4	3.1.6.1	COG3119	Arylsulfatase
LOAGDLFN_01205	CDS	1527		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
LOAGDLFN_01206	CDS	1593	expZ		COG0488	Nucleotide-binding protein ExpZ
LOAGDLFN_01207	CDS	2595	xyl3A	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
LOAGDLFN_01208	CDS	1494	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
LOAGDLFN_01209	CDS	351				hypothetical protein
LOAGDLFN_01210	CDS	1371	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LOAGDLFN_01211	CDS	402	mip_1	5.2.1.8	COG0545	Peptidyl-prolyl cis-trans isomerase Mip
LOAGDLFN_01212	CDS	237				hypothetical protein
LOAGDLFN_01213	CDS	867	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
LOAGDLFN_01214	CDS	870	ftsX		COG2177	Cell division protein FtsX
LOAGDLFN_01215	CDS	246				hypothetical protein
LOAGDLFN_01216	CDS	801	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
LOAGDLFN_01217	CDS	708	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
LOAGDLFN_01218	CDS	1056	queA_2	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LOAGDLFN_01219	CDS	447	sulD		COG0801	Bifunctional folate synthesis protein
LOAGDLFN_01220	CDS	861				hypothetical protein
LOAGDLFN_01221	CDS	573				hypothetical protein
LOAGDLFN_01222	CDS	369				hypothetical protein
LOAGDLFN_01223	CDS	1695				hypothetical protein
LOAGDLFN_01224	CDS	174				hypothetical protein
LOAGDLFN_01225	CDS	1614				IS66 family transposase ISBvu4
LOAGDLFN_01226	CDS	510				hypothetical protein
LOAGDLFN_01227	CDS	132				hypothetical protein
LOAGDLFN_01228	CDS	1143	wecH	2.3.1.-		O-acetyltransferase WecH
LOAGDLFN_01229	CDS	639				hypothetical protein
LOAGDLFN_01230	CDS	1377	ribZ			Riboflavin transporter RibZ
LOAGDLFN_01231	CDS	1293	metK	2.5.1.6		S-adenosylmethionine synthase
LOAGDLFN_01232	CDS	588		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
LOAGDLFN_01233	CDS	813				hypothetical protein
LOAGDLFN_01234	CDS	750				hypothetical protein
LOAGDLFN_01235	CDS	393	rnpA	3.1.26.5		Ribonuclease P protein component
LOAGDLFN_01236	CDS	222			COG0759	Putative membrane protein insertion efficiency factor
LOAGDLFN_01237	CDS	630	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
LOAGDLFN_01238	CDS	1293	tyrS	6.1.1.1		Tyrosine--tRNA ligase
LOAGDLFN_01239	CDS	3255	tri1_2	3.4.21.-	COG0793	Tricorn protease 
LOAGDLFN_01240	tRNA	72				tRNA-Gln(ttg)
LOAGDLFN_01241	CDS	507				hypothetical protein
LOAGDLFN_01242	CDS	2613	mutS_2		COG0249	DNA mismatch repair protein MutS
LOAGDLFN_01243	CDS	1980				hypothetical protein
LOAGDLFN_01244	CDS	588				hypothetical protein
LOAGDLFN_01245	CDS	1668				hypothetical protein
LOAGDLFN_01246	CDS	1659				hypothetical protein
LOAGDLFN_01247	CDS	249				hypothetical protein
LOAGDLFN_01248	CDS	699				hypothetical protein
LOAGDLFN_01249	CDS	657	cat	2.3.1.28		Chloramphenicol acetyltransferase
LOAGDLFN_01250	CDS	822	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
LOAGDLFN_01251	CDS	912				hypothetical protein
LOAGDLFN_01252	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
LOAGDLFN_01253	CDS	387				hypothetical protein
LOAGDLFN_01254	CDS	213				hypothetical protein
LOAGDLFN_01255	CDS	2916	polA	2.7.7.7	COG0258	DNA polymerase I
LOAGDLFN_01256	CDS	975	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
LOAGDLFN_01257	CDS	948	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
LOAGDLFN_01258	CDS	321	ypjD		COG1694	putative protein YpjD
LOAGDLFN_01259	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
LOAGDLFN_01260	CDS	1821	uvrC		COG0322	UvrABC system protein C
LOAGDLFN_01261	CDS	525	apt	2.4.2.7		Adenine phosphoribosyltransferase
LOAGDLFN_01262	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
LOAGDLFN_01263	CDS	1701				hypothetical protein
LOAGDLFN_01264	CDS	534				hypothetical protein
LOAGDLFN_01265	CDS	417	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LOAGDLFN_01266	CDS	1233				hypothetical protein
LOAGDLFN_01267	CDS	612				hypothetical protein
LOAGDLFN_01268	CDS	798				hypothetical protein
LOAGDLFN_01269	CDS	1020				hypothetical protein
LOAGDLFN_01270	CDS	939	xerC_4			Tyrosine recombinase XerC
LOAGDLFN_01271	CDS	495				hypothetical protein
LOAGDLFN_01272	CDS	828				hypothetical protein
LOAGDLFN_01273	CDS	405				hypothetical protein
LOAGDLFN_01274	CDS	351				hypothetical protein
LOAGDLFN_01275	CDS	1566				IS66 family transposase ISBthe5
LOAGDLFN_01276	CDS	2148				hypothetical protein
LOAGDLFN_01277	CDS	480				hypothetical protein
LOAGDLFN_01278	CDS	2769				hypothetical protein
LOAGDLFN_01279	CDS	972	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LOAGDLFN_01280	CDS	963	yrbG		COG0530	Inner membrane protein YrbG
LOAGDLFN_01281	CDS	1137	yghO			Protein YghO
LOAGDLFN_01282	CDS	1878	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
LOAGDLFN_01283	CDS	456	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
LOAGDLFN_01284	CDS	1602				hypothetical protein
LOAGDLFN_01285	CDS	612				hypothetical protein
LOAGDLFN_01286	CDS	687				hypothetical protein
LOAGDLFN_01287	CDS	1959	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
LOAGDLFN_01288	CDS	756	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
LOAGDLFN_01289	CDS	861	rhaS_6			HTH-type transcriptional activator RhaS
LOAGDLFN_01290	CDS	990				hypothetical protein
LOAGDLFN_01291	CDS	996				Putative fimbrium anchoring subunit Fim4B
LOAGDLFN_01292	CDS	1368				hypothetical protein
LOAGDLFN_01293	CDS	120				hypothetical protein
LOAGDLFN_01294	CDS	1884				hypothetical protein
LOAGDLFN_01295	CDS	1116				hypothetical protein
LOAGDLFN_01296	CDS	408		3.1.-.-	COG0824	Putative esterase
LOAGDLFN_01297	CDS	918	dusB_2	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
LOAGDLFN_01298	CDS	1257				hypothetical protein
LOAGDLFN_01299	CDS	1155	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
LOAGDLFN_01300	CDS	690				hypothetical protein
LOAGDLFN_01301	CDS	3147				hypothetical protein
LOAGDLFN_01302	CDS	1485				hypothetical protein
LOAGDLFN_01303	CDS	1002	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LOAGDLFN_01304	CDS	1266				hypothetical protein
LOAGDLFN_01305	CDS	756	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LOAGDLFN_01306	CDS	1425				hypothetical protein
