locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIEECKCC_00924	CDS	1779	uidA	3.2.1.31	COG3250	Beta-glucuronidase
AIEECKCC_00925	CDS	1995		3.2.1.22		Retaining alpha-galactosidase
AIEECKCC_00926	CDS	1293	axe7A_1	3.1.1.-	COG3458	Acetyl esterase Axe7A
AIEECKCC_00927	CDS	2064				hypothetical protein
AIEECKCC_00928	CDS	1881				hypothetical protein
AIEECKCC_00929	CDS	1731				SusD-like protein P2
AIEECKCC_00930	CDS	3324				TonB-dependent receptor P3
AIEECKCC_00931	CDS	1041				hypothetical protein
AIEECKCC_00932	CDS	582	algU_2		COG1595	RNA polymerase sigma-H factor
AIEECKCC_00933	CDS	1296	xerC_1			Tyrosine recombinase XerC
AIEECKCC_00934	CDS	318				hypothetical protein
AIEECKCC_00935	CDS	294				hypothetical protein
AIEECKCC_00936	CDS	993				hypothetical protein
AIEECKCC_00937	CDS	588				hypothetical protein
AIEECKCC_00938	CDS	828				hypothetical protein
AIEECKCC_00939	CDS	93				hypothetical protein
AIEECKCC_00940	CDS	654				hypothetical protein
AIEECKCC_00941	CDS	612				hypothetical protein
AIEECKCC_00942	CDS	336				hypothetical protein
AIEECKCC_00943	CDS	657				hypothetical protein
AIEECKCC_00944	CDS	489				hypothetical protein
AIEECKCC_00945	CDS	975	traC	2.7.7.-		DNA primase TraC
AIEECKCC_00946	CDS	657				hypothetical protein
AIEECKCC_00947	CDS	549				hypothetical protein
AIEECKCC_00948	CDS	1713	noc			Nucleoid occlusion protein
AIEECKCC_00949	CDS	603				hypothetical protein
AIEECKCC_00950	CDS	162				hypothetical protein
AIEECKCC_00951	CDS	444				hypothetical protein
AIEECKCC_00952	CDS	573				hypothetical protein
AIEECKCC_00953	CDS	501				hypothetical protein
AIEECKCC_00954	CDS	849				hypothetical protein
AIEECKCC_00955	CDS	657				hypothetical protein
AIEECKCC_00956	CDS	450				hypothetical protein
AIEECKCC_00957	CDS	582				hypothetical protein
AIEECKCC_00958	CDS	939				hypothetical protein
AIEECKCC_00959	CDS	1392				hypothetical protein
AIEECKCC_00960	CDS	1167				hypothetical protein
AIEECKCC_00961	CDS	285				hypothetical protein
AIEECKCC_00962	CDS	624				hypothetical protein
AIEECKCC_00963	CDS	1005				hypothetical protein
AIEECKCC_00964	CDS	630				hypothetical protein
AIEECKCC_00965	CDS	363				hypothetical protein
AIEECKCC_00966	CDS	2502				hypothetical protein
AIEECKCC_00967	CDS	324				hypothetical protein
AIEECKCC_00968	CDS	300				hypothetical protein
AIEECKCC_00969	CDS	588				hypothetical protein
AIEECKCC_00970	CDS	405				hypothetical protein
AIEECKCC_00971	CDS	804				hypothetical protein
AIEECKCC_00972	CDS	429				hypothetical protein
AIEECKCC_00973	CDS	1296				hypothetical protein
AIEECKCC_00974	CDS	318				hypothetical protein
AIEECKCC_00975	CDS	924				hypothetical protein
AIEECKCC_00976	CDS	1653				hypothetical protein
AIEECKCC_00977	CDS	1170				hypothetical protein
AIEECKCC_00978	CDS	396				hypothetical protein
AIEECKCC_00979	CDS	285				hypothetical protein
AIEECKCC_00980	CDS	951				hypothetical protein
AIEECKCC_00981	CDS	372				hypothetical protein
AIEECKCC_00982	CDS	402				hypothetical protein
AIEECKCC_00983	CDS	894				hypothetical protein
AIEECKCC_00984	CDS	1131	xerC_2			Tyrosine recombinase XerC
AIEECKCC_00985	CDS	1521				hypothetical protein
AIEECKCC_00986	CDS	2103	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
AIEECKCC_00987	CDS	477				hypothetical protein
AIEECKCC_00988	CDS	1083				hypothetical protein
AIEECKCC_00989	CDS	384				hypothetical protein
AIEECKCC_00990	CDS	492				hypothetical protein
AIEECKCC_00991	CDS	360				hypothetical protein
AIEECKCC_00992	CDS	2154				hypothetical protein
AIEECKCC_00993	CDS	429				hypothetical protein
AIEECKCC_00994	CDS	840				hypothetical protein
AIEECKCC_00995	CDS	870	rhaS_3			HTH-type transcriptional activator RhaS
AIEECKCC_00996	CDS	561				hypothetical protein
AIEECKCC_00997	CDS	303				hypothetical protein
AIEECKCC_00998	CDS	756				hypothetical protein
AIEECKCC_00999	CDS	861				hypothetical protein
AIEECKCC_01000	CDS	381				hypothetical protein
AIEECKCC_01001	CDS	870	ppnK	2.7.1.23	COG0061	NAD kinase
AIEECKCC_01002	CDS	714	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
AIEECKCC_01003	CDS	717	tolQ_1			Tol-Pal system protein TolQ
AIEECKCC_01004	CDS	411	tolR_1			Tol-Pal system protein TolR
AIEECKCC_01005	CDS	819				hypothetical protein
AIEECKCC_01006	CDS	555	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
AIEECKCC_01007	CDS	675	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
AIEECKCC_01008	CDS	2097	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
AIEECKCC_01009	CDS	870				hypothetical protein
AIEECKCC_01010	CDS	543				hypothetical protein
AIEECKCC_01011	CDS	1293				hypothetical protein
AIEECKCC_01012	CDS	756	tpiA	5.3.1.1		Triosephosphate isomerase
AIEECKCC_01013	CDS	459				hypothetical protein
AIEECKCC_01014	CDS	588	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
AIEECKCC_01015	CDS	2097	dnaG_1	2.7.7.-		DNA primase
AIEECKCC_01016	CDS	3105	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_01017	CDS	774				hypothetical protein
AIEECKCC_01018	CDS	1068	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
AIEECKCC_01019	CDS	1182	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
AIEECKCC_01020	CDS	849	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
AIEECKCC_01021	CDS	141				hypothetical protein
AIEECKCC_01022	CDS	750				hypothetical protein
AIEECKCC_01023	CDS	960	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
AIEECKCC_01024	CDS	1947	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
AIEECKCC_01025	CDS	1716	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
AIEECKCC_01026	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
AIEECKCC_01027	CDS	996		4.6.1.13		1-phosphatidylinositol phosphodiesterase
AIEECKCC_01028	CDS	825	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
AIEECKCC_01029	CDS	3183				TonB-dependent receptor P3
AIEECKCC_01030	CDS	1638				SusD-like protein
AIEECKCC_01031	CDS	2931				hypothetical protein
AIEECKCC_01032	CDS	864				hypothetical protein
AIEECKCC_01033	CDS	1113				hypothetical protein
AIEECKCC_01034	CDS	1605				hypothetical protein
AIEECKCC_01035	CDS	1452				hypothetical protein
AIEECKCC_01036	CDS	2322				hypothetical protein
AIEECKCC_01037	CDS	1449	cpdA_4	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
AIEECKCC_01038	CDS	1173	xylR			Xylose operon regulatory protein
AIEECKCC_01039	CDS	435				hypothetical protein
AIEECKCC_01040	CDS	531	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
AIEECKCC_01041	CDS	1791	clcB			Voltage-gated ClC-type chloride channel ClcB
AIEECKCC_01042	CDS	972	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
AIEECKCC_01043	CDS	651	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
AIEECKCC_01044	CDS	2037				hypothetical protein
AIEECKCC_01045	CDS	1038	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
AIEECKCC_01046	CDS	612				hypothetical protein
AIEECKCC_01047	CDS	1389	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AIEECKCC_01048	CDS	1356	alsT_1		COG1115	Amino-acid carrier protein AlsT
AIEECKCC_01049	CDS	504	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
AIEECKCC_01050	CDS	1230	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
AIEECKCC_01051	CDS	1131				hypothetical protein
AIEECKCC_01052	CDS	1479	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
AIEECKCC_01053	CDS	1059				hypothetical protein
AIEECKCC_01054	CDS	1743				hypothetical protein
AIEECKCC_01055	CDS	1275	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
AIEECKCC_01056	CDS	825				hypothetical protein
AIEECKCC_01057	CDS	771				hypothetical protein
AIEECKCC_01058	CDS	1446	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
AIEECKCC_01059	CDS	2031				hypothetical protein
AIEECKCC_01060	CDS	753	btsR_2		COG3279	Transcriptional regulatory protein BtsR
AIEECKCC_01061	CDS	354				hypothetical protein
AIEECKCC_01062	CDS	1143				hypothetical protein
AIEECKCC_01063	CDS	2739				hypothetical protein
AIEECKCC_01064	CDS	519				hypothetical protein
AIEECKCC_01065	CDS	546				hypothetical protein
AIEECKCC_01066	CDS	1131	hemW		COG0635	Heme chaperone HemW
AIEECKCC_01067	CDS	90				hypothetical protein
AIEECKCC_01068	CDS	1254				hypothetical protein
AIEECKCC_01069	CDS	1332				hypothetical protein
AIEECKCC_01070	CDS	1128		3.2.1.-		Unsaturated 3S-rhamnoglycuronyl hydrolase
AIEECKCC_01071	CDS	1941				hypothetical protein
AIEECKCC_01072	CDS	1947		3.2.1.22		Retaining alpha-galactosidase
AIEECKCC_01073	CDS	2544				hypothetical protein
AIEECKCC_01074	CDS	1992	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
AIEECKCC_01075	CDS	1950		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
AIEECKCC_01076	CDS	3096	lacZ_8	3.2.1.23		Beta-galactosidase
AIEECKCC_01077	CDS	579	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
AIEECKCC_01078	CDS	1221				hypothetical protein
AIEECKCC_01079	CDS	2094				hypothetical protein
AIEECKCC_01080	CDS	441				hypothetical protein
AIEECKCC_01081	CDS	2184				hypothetical protein
AIEECKCC_01082	CDS	1977	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_01083	CDS	3279				TonB-dependent receptor P3
AIEECKCC_01084	CDS	2058				hypothetical protein
AIEECKCC_01085	CDS	1152				hypothetical protein
AIEECKCC_01086	CDS	573	tag_2	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
AIEECKCC_01087	CDS	1182	uxuA_2	4.2.1.8	COG1312	Mannonate dehydratase
AIEECKCC_01088	CDS	3321				hypothetical protein
AIEECKCC_01089	CDS	1770				hypothetical protein
AIEECKCC_01090	CDS	2157	fusA_1		COG0480	Elongation factor G
AIEECKCC_01091	CDS	1545	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
AIEECKCC_01092	CDS	702	mprA_1		COG0745	Response regulator MprA
AIEECKCC_01093	CDS	177				hypothetical protein
AIEECKCC_01094	CDS	447	slyA			Transcriptional regulator SlyA
AIEECKCC_01095	CDS	345				hypothetical protein
AIEECKCC_01096	CDS	273				hypothetical protein
AIEECKCC_01097	CDS	450	rplI		COG0359	50S ribosomal protein L9
AIEECKCC_01098	CDS	99				hypothetical protein
AIEECKCC_01099	CDS	246				hypothetical protein
AIEECKCC_01100	CDS	195				hypothetical protein
AIEECKCC_01101	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
AIEECKCC_01102	CDS	1317	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
AIEECKCC_01103	CDS	900	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
AIEECKCC_01104	CDS	1017				hypothetical protein
AIEECKCC_01105	CDS	519	mgsA_1	4.2.3.3	COG1803	Methylglyoxal synthase
AIEECKCC_01106	CDS	366	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
AIEECKCC_01107	CDS	141				hypothetical protein
AIEECKCC_01108	CDS	1236	xerC_3			Tyrosine recombinase XerC
AIEECKCC_01109	CDS	363				hypothetical protein
AIEECKCC_01110	CDS	303				hypothetical protein
AIEECKCC_01111	CDS	294				hypothetical protein
AIEECKCC_01112	CDS	360				hypothetical protein
AIEECKCC_01113	CDS	351				hypothetical protein
AIEECKCC_01114	CDS	1590				hypothetical protein
AIEECKCC_01115	CDS	2112	topB_2	5.6.2.1	COG0550	DNA topoisomerase 3
AIEECKCC_01116	CDS	453				hypothetical protein
AIEECKCC_01117	CDS	5781				hypothetical protein
AIEECKCC_01118	CDS	1131				hypothetical protein
AIEECKCC_01119	CDS	1101				hypothetical protein
AIEECKCC_01120	CDS	855				hypothetical protein
AIEECKCC_01121	CDS	888	fim1C_2			Putative fimbrium subunit Fim1C
AIEECKCC_01122	CDS	2247				hypothetical protein
AIEECKCC_01123	CDS	684				hypothetical protein
AIEECKCC_01124	CDS	1479				hypothetical protein
AIEECKCC_01125	CDS	966				hypothetical protein
AIEECKCC_01126	CDS	198				hypothetical protein
AIEECKCC_01127	CDS	198				hypothetical protein
AIEECKCC_01128	CDS	381				hypothetical protein
AIEECKCC_01129	CDS	201				hypothetical protein
AIEECKCC_01130	CDS	261				hypothetical protein
AIEECKCC_01131	CDS	558				hypothetical protein
AIEECKCC_01132	CDS	360				hypothetical protein
AIEECKCC_01133	CDS	342				hypothetical protein
AIEECKCC_01134	CDS	3054	dnaG_2	2.7.7.-		DNA primase
AIEECKCC_01135	CDS	321				hypothetical protein
AIEECKCC_01136	CDS	330				hypothetical protein
AIEECKCC_01137	CDS	585				hypothetical protein
AIEECKCC_01138	CDS	483				hypothetical protein
AIEECKCC_01139	CDS	1119	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
AIEECKCC_01140	CDS	1236				hypothetical protein
AIEECKCC_01141	CDS	603				hypothetical protein
AIEECKCC_01142	CDS	891				hypothetical protein
AIEECKCC_01143	CDS	582				hypothetical protein
AIEECKCC_01144	CDS	285				hypothetical protein
AIEECKCC_01145	CDS	603				hypothetical protein
AIEECKCC_01146	CDS	213				hypothetical protein
AIEECKCC_01147	CDS	1728				hypothetical protein
AIEECKCC_01148	CDS	507				hypothetical protein
AIEECKCC_01149	CDS	591				hypothetical protein
AIEECKCC_01150	CDS	237				hypothetical protein
AIEECKCC_01151	CDS	408				hypothetical protein
AIEECKCC_01152	CDS	276				hypothetical protein
AIEECKCC_01153	CDS	207				hypothetical protein
AIEECKCC_01154	CDS	246				hypothetical protein
AIEECKCC_01155	CDS	300				hypothetical protein
AIEECKCC_01156	CDS	561				hypothetical protein
AIEECKCC_01157	CDS	501				hypothetical protein
AIEECKCC_01158	CDS	1095				hypothetical protein
AIEECKCC_01159	CDS	279				hypothetical protein
AIEECKCC_01160	CDS	1356				hypothetical protein
AIEECKCC_01161	CDS	1035				hypothetical protein
AIEECKCC_01162	CDS	789				hypothetical protein
AIEECKCC_01163	CDS	477				hypothetical protein
AIEECKCC_01164	CDS	1935				hypothetical protein
AIEECKCC_01165	CDS	201				hypothetical protein
AIEECKCC_01166	CDS	3141				hypothetical protein
AIEECKCC_01167	CDS	525				hypothetical protein
AIEECKCC_01168	CDS	543				hypothetical protein
AIEECKCC_01169	CDS	3501				hypothetical protein
AIEECKCC_01170	CDS	1776				hypothetical protein
AIEECKCC_01171	CDS	213				hypothetical protein
AIEECKCC_01172	CDS	429				hypothetical protein
AIEECKCC_01173	CDS	1137				hypothetical protein
AIEECKCC_01174	CDS	300				hypothetical protein
AIEECKCC_01175	CDS	870				hypothetical protein
AIEECKCC_01176	CDS	198				hypothetical protein
AIEECKCC_01177	CDS	363				hypothetical protein
AIEECKCC_01178	CDS	246				hypothetical protein
AIEECKCC_01179	CDS	300				hypothetical protein
AIEECKCC_01180	CDS	1167	xerC_4			Tyrosine recombinase XerC
AIEECKCC_01181	tRNA	75				tRNA-Arg(tct)
AIEECKCC_01182	CDS	705	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
AIEECKCC_01183	CDS	1437	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
AIEECKCC_01184	CDS	729				hypothetical protein
AIEECKCC_01185	CDS	4281	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
AIEECKCC_01186	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
AIEECKCC_01187	CDS	1260				hypothetical protein
AIEECKCC_01188	CDS	1290		3.4.24.-	COG0612	putative zinc protease
AIEECKCC_01189	CDS	756	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
AIEECKCC_01190	CDS	366				hypothetical protein
AIEECKCC_01191	CDS	2331	mrcA		COG5009	Penicillin-binding protein 1A
AIEECKCC_01192	CDS	105				hypothetical protein
AIEECKCC_01193	CDS	948	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
AIEECKCC_01194	CDS	465	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
AIEECKCC_01195	CDS	567	flr			Flavoredoxin
AIEECKCC_01196	CDS	771				hypothetical protein
AIEECKCC_01197	CDS	1281	glyA	2.1.2.1		Serine hydroxymethyltransferase
AIEECKCC_01198	CDS	1671	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
AIEECKCC_01199	CDS	2154				hypothetical protein
AIEECKCC_01200	CDS	1572	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
AIEECKCC_01201	CDS	723	mprA_2		COG0745	Response regulator MprA
AIEECKCC_01202	CDS	288				hypothetical protein
AIEECKCC_01203	CDS	435				hypothetical protein
AIEECKCC_01204	CDS	597				hypothetical protein
AIEECKCC_01205	CDS	903	rmlD_1	1.1.1.133		dTDP-4-dehydrorhamnose reductase
AIEECKCC_01206	CDS	2154	recD	3.1.11.5		RecBCD enzyme subunit RecD
AIEECKCC_01207	CDS	891	atpG		COG0224	ATP synthase gamma chain
AIEECKCC_01208	CDS	1587	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
AIEECKCC_01209	CDS	561	atpH_1		COG0712	ATP synthase subunit delta
AIEECKCC_01210	CDS	507	atpF		COG0711	ATP synthase subunit b
AIEECKCC_01211	CDS	258	atpH_2			ATP synthase subunit c
AIEECKCC_01212	CDS	1071	atpB			ATP synthase subunit a
AIEECKCC_01213	CDS	420				hypothetical protein
AIEECKCC_01214	CDS	252	atpC		COG0355	ATP synthase epsilon chain
AIEECKCC_01215	CDS	1536	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
AIEECKCC_01216	CDS	1035	lnpD	5.1.3.2		UDP-glucose 4-epimerase
AIEECKCC_01217	CDS	585	rnfA	7.2.1.2	COG4657	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A
AIEECKCC_01218	CDS	567	rnfE	7.2.1.2	COG4660	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E
AIEECKCC_01219	CDS	636	rnfG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
AIEECKCC_01220	CDS	993	rnfD	7.2.1.2	COG4658	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
AIEECKCC_01221	CDS	1338	rnfC	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
AIEECKCC_01222	CDS	903	rnfB	7.2.1.2	COG2878	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B
AIEECKCC_01223	CDS	420				hypothetical protein
AIEECKCC_01224	CDS	1401				hypothetical protein
AIEECKCC_01225	CDS	207				hypothetical protein
AIEECKCC_01226	CDS	1620	pyrG	6.3.4.2		CTP synthase
AIEECKCC_01227	CDS	1854	yidC		COG0706	Membrane protein insertase YidC
AIEECKCC_01228	CDS	1332	mdtK_1			Multidrug resistance protein MdtK
AIEECKCC_01229	CDS	2100	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
AIEECKCC_01230	CDS	1431				hypothetical protein
AIEECKCC_01231	CDS	948	wecA_1	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
AIEECKCC_01232	CDS	981	rfbB_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
AIEECKCC_01233	CDS	321				hypothetical protein
AIEECKCC_01234	CDS	156				hypothetical protein
AIEECKCC_01235	CDS	1233				hypothetical protein
AIEECKCC_01236	CDS	1182	wbpI_3	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
AIEECKCC_01237	CDS	1149	wbjC_2	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
AIEECKCC_01238	CDS	405				hypothetical protein
AIEECKCC_01239	CDS	222				hypothetical protein
AIEECKCC_01240	CDS	1074	capD_2	5.1.3.2	COG1086	UDP-glucose 4-epimerase
AIEECKCC_01241	CDS	1017				hypothetical protein
AIEECKCC_01242	CDS	1197				hypothetical protein
AIEECKCC_01243	CDS	1041				hypothetical protein
AIEECKCC_01244	CDS	774	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
AIEECKCC_01245	CDS	615				hypothetical protein
AIEECKCC_01246	CDS	888	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AIEECKCC_01247	CDS	930				hypothetical protein
AIEECKCC_01248	CDS	1758	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
AIEECKCC_01249	CDS	1338				hypothetical protein
AIEECKCC_01250	CDS	1545				hypothetical protein
AIEECKCC_01251	CDS	534	rfaH_1			Transcription antitermination protein RfaH
AIEECKCC_01252	CDS	132				hypothetical protein
AIEECKCC_01253	CDS	324				hypothetical protein
AIEECKCC_01254	CDS	2130				hypothetical protein
AIEECKCC_01255	CDS	261				hypothetical protein
AIEECKCC_01256	CDS	510				hypothetical protein
AIEECKCC_01257	CDS	102				hypothetical protein
AIEECKCC_01258	CDS	1131				hypothetical protein
AIEECKCC_01259	CDS	183				hypothetical protein
AIEECKCC_01260	CDS	234				hypothetical protein
AIEECKCC_01261	CDS	336				hypothetical protein
AIEECKCC_01262	CDS	1494	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AIEECKCC_01263	CDS	558				hypothetical protein
AIEECKCC_01264	CDS	1080				hypothetical protein
AIEECKCC_01265	CDS	1086	mro_2	5.1.3.3	COG2017	Aldose 1-epimerase
AIEECKCC_01266	CDS	669				hypothetical protein
AIEECKCC_01267	CDS	1632				hypothetical protein
AIEECKCC_01268	CDS	1494				SusD-like protein P38
AIEECKCC_01269	CDS	3180				TonB-dependent receptor P3
AIEECKCC_01270	CDS	918	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
AIEECKCC_01271	CDS	2469	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
AIEECKCC_01272	CDS	747				hypothetical protein
AIEECKCC_01273	CDS	783				IS21 family transposase ISGur9
AIEECKCC_01274	CDS	1581				IS21 family transposase ISPpu7
AIEECKCC_01275	CDS	534				hypothetical protein
AIEECKCC_01276	CDS	1215	xerC_5			Tyrosine recombinase XerC
AIEECKCC_01277	tRNA	74				tRNA-Gly(ccc)
AIEECKCC_01278	CDS	522	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
AIEECKCC_01279	CDS	1038	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
AIEECKCC_01280	CDS	744	cobS	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
AIEECKCC_01281	CDS	540				hypothetical protein
AIEECKCC_01282	CDS	1956				hypothetical protein
AIEECKCC_01283	CDS	1881	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_01284	CDS	969	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
AIEECKCC_01285	CDS	1035	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
AIEECKCC_01286	CDS	1518	cobQ			Cobyric acid synthase
AIEECKCC_01287	CDS	1428				hypothetical protein
AIEECKCC_01288	CDS	996	emrA_1			Colistin resistance protein EmrA
AIEECKCC_01289	CDS	2364				hypothetical protein
AIEECKCC_01290	CDS	168				hypothetical protein
AIEECKCC_01291	CDS	1185	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
AIEECKCC_01292	CDS	570	yvqK_1	2.5.1.17	COG2096	Corrinoid adenosyltransferase
AIEECKCC_01293	CDS	594				hypothetical protein
AIEECKCC_01294	CDS	198				hypothetical protein
AIEECKCC_01295	CDS	1743				hypothetical protein
AIEECKCC_01296	CDS	1074	fim1C_3			Fimbrium subunit Fim1C
AIEECKCC_01297	CDS	1140	fim1C_4			Fimbrium subunit Fim1C
AIEECKCC_01298	CDS	1131				hypothetical protein
AIEECKCC_01299	CDS	144				hypothetical protein
AIEECKCC_01300	CDS	1230	xerC_6			Tyrosine recombinase XerC
AIEECKCC_01301	CDS	1212	xerC_7			Tyrosine recombinase XerC
AIEECKCC_01302	CDS	294				hypothetical protein
AIEECKCC_01303	CDS	120				hypothetical protein
AIEECKCC_01304	CDS	3549				hypothetical protein
AIEECKCC_01305	CDS	732				hypothetical protein
AIEECKCC_01306	CDS	273				hypothetical protein
AIEECKCC_01307	CDS	2193				hypothetical protein
AIEECKCC_01308	CDS	2202				hypothetical protein
AIEECKCC_01309	CDS	2148				hypothetical protein
AIEECKCC_01310	CDS	1563				hypothetical protein
AIEECKCC_01311	CDS	1272				hypothetical protein
AIEECKCC_01312	CDS	2871				hypothetical protein
AIEECKCC_01313	CDS	105				hypothetical protein
AIEECKCC_01314	CDS	111				hypothetical protein
AIEECKCC_01315	CDS	1881				hypothetical protein
AIEECKCC_01316	CDS	789				hypothetical protein
AIEECKCC_01317	CDS	405				hypothetical protein
AIEECKCC_01318	CDS	417				hypothetical protein
AIEECKCC_01319	CDS	273				hypothetical protein
AIEECKCC_01320	CDS	567				hypothetical protein
AIEECKCC_01321	CDS	759	fpuD	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuD
AIEECKCC_01322	CDS	981	hmuU_2		COG0609	Hemin transport system permease protein HmuU
AIEECKCC_01323	CDS	1140				hypothetical protein
AIEECKCC_01324	CDS	2058	btuB_4			Vitamin B12 transporter BtuB
AIEECKCC_01325	CDS	1101				hypothetical protein
AIEECKCC_01326	CDS	2091				hypothetical protein
AIEECKCC_01327	CDS	1782				hypothetical protein
AIEECKCC_01328	CDS	918				hypothetical protein
AIEECKCC_01329	CDS	894				hypothetical protein
AIEECKCC_01330	CDS	882				hypothetical protein
AIEECKCC_01331	CDS	1389	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
AIEECKCC_01332	CDS	1431	rapZ			RNase adapter protein RapZ
AIEECKCC_01333	CDS	732	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
AIEECKCC_01334	CDS	1686	aspT_1			Aspartate/alanine antiporter
AIEECKCC_01335	CDS	1533	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
AIEECKCC_01336	CDS	516				hypothetical protein
AIEECKCC_01337	CDS	1512	accC	6.3.4.14	COG0439	Biotin carboxylase
AIEECKCC_01338	CDS	2361	btuB_5			Vitamin B12 transporter BtuB
AIEECKCC_01339	CDS	1305				hypothetical protein
